H_m,t_m,P_N,vonMises_Pa,tip_deflection_m
0.095588,0.016188,4675.98,159484552.813,0.005874942
0.091763,0.027465,3562.08,77294208.483,0.002963099
0.178024,0.015081,514.75,5780130.65,0.000114673
0.168045,0.011137,1141.16,19375696.662,0.000407316
0.169924,0.022158,1455.87,12162776.387,0.000252848
0.090137,0.02848,1708.42,36961516.618,0.001441805
0.155361,0.008239,4167.66,111132266.107,0.002527609
0.067639,0.017901,658.48,38393235.281,0.001971739
0.132512,0.026166,879.79,10006869.843,0.000266865
0.091138,0.024117,3236.44,81001065.369,0.003125919
0.09692,0.020723,2546.2,66102315.703,0.002402268
0.179353,0.012323,3909.79,52969692.52,0.001043057
0.145351,0.023511,2202.18,23368826.812,0.000568178
0.158738,0.022461,2243.7,21062509.991,0.000468828
0.053968,0.029073,3711.2,198390475.235,0.012547613
0.080711,0.02327,1754.08,57007317.518,0.002474601
0.120393,0.026497,2516.32,33919371.981,0.000995211
0.093201,0.012637,846.58,38779938.064,0.001464265
0.082926,0.011778,1278.36,78083921.068,0.003302236
0.05946,0.016645,1464.78,115536275.31,0.006689484
0.160816,0.028063,1728.43,12667520.365,0.000278311
0.135837,0.017668,837.99,13464223.828,0.00035029
0.068731,0.027119,2633.68,98475673.211,0.004981644
0.170691,0.006665,3176.66,87479194.505,0.001810369
0.179797,0.026677,525.75,3274970.528,6.433e-05
0.128258,0.014225,3920.19,87273060.64,0.002404377
0.060983,0.011623,4156.89,449055674.048,0.025400597
0.120433,0.016329,4858.51,106207031.19,0.003115123
0.097984,0.006043,2264.9,197543688.064,0.007102696
0.073006,0.007047,3055.37,394078192.015,0.01882892
0.193036,0.019485,3412.02,25403326.342,0.000464649
0.098544,0.019278,3885.1,105088376.689,0.003757385
0.138393,0.025069,2977.12,32535086.304,0.000830828
0.079722,0.019568,2709.21,107113429.258,0.004705078
0.07489,0.020479,4176.32,176944595.097,0.008251745
0.070263,0.018624,3801.59,198902681.13,0.009854796
0.110453,0.011751,2175.26,77847857.687,0.002487712
0.131255,0.022167,3016.29,41238939.931,0.001110273
0.066054,0.025447,4657.37,199338109.134,0.010467621
0.065194,0.011238,1281.57,127154935.182,0.006759522
0.177373,0.027757,699.23,4296096.301,8.5545e-05
0.099863,0.009812,2612.9,135430816.705,0.004779542
0.188239,0.006754,1270.76,28638604.467,0.000537222
0.123054,0.018101,3854.76,72968816.83,0.002094912
0.115653,0.008528,2091.25,94518657.528,0.002885987
0.197314,0.023768,1023.55,5991185.977,0.000107201
0.171231,0.012773,4016.28,57359754.286,0.001183294
0.051908,0.026782,1230.4,76325446.927,0.004999143
0.118363,0.021544,2785.41,47694456.372,0.00142321
0.07481,0.008478,1780.4,182573377.166,0.008522993
0.057859,0.010414,1085.47,143559105.23,0.008522866
0.11972,0.013913,3140.75,81493947.386,0.002404428
0.092132,0.005848,1990.0,201289725.462,0.007686372
0.163277,0.011396,2320.47,40681134.173,0.000880263
0.163246,0.015167,4492.06,59192995.839,0.001281069
0.18771,0.012763,3811.84,45706499.614,0.000859815
0.087968,0.008488,2470.46,187664644.283,0.007495874
0.140371,0.02839,1156.56,10862994.75,0.000273493
0.156854,0.016887,1092.69,13958210.266,0.000314437
0.195899,0.022394,1079.86,6801477.824,0.000122582
0.185863,0.007577,916.97,18873308.897,0.000358579
0.099733,0.028449,648.61,11623892.797,0.000410749
0.187731,0.02029,801.73,6045800.855,0.000113719
0.135289,0.01647,3037.93,52768398.234,0.0013784
0.160581,0.021965,4987.52,46831162.786,0.001030412
0.0735,0.025321,2349.92,83323510.703,0.003955708
0.167496,0.027294,4963.99,34605669.527,0.000729874
0.089906,0.016323,4742.51,179877208.754,0.007034234
0.191861,0.014322,4730.94,48484421.27,0.000892274
0.110884,0.014369,3904.79,113444161.617,0.0036113
0.120682,0.016205,2237.54,49093720.403,0.001437008
0.114921,0.008495,774.67,35574404.847,0.001093071
0.163099,0.019112,3523.51,36908978.213,0.000799516
0.17035,0.010753,1551.98,26590950.565,0.000551402
0.091686,0.012598,3923.11,185873392.258,0.007131303
0.106127,0.01308,3363.36,116619294.567,0.003876585
0.077986,0.007661,3637.1,382501212.618,0.017160483
0.163467,0.012409,3362.19,54011371.123,0.001167344
0.055111,0.015108,3100.81,307638278.189,0.01909163
0.088013,0.013705,3242.97,152423031.052,0.006085184
0.138485,0.008855,3679.62,113704161.61,0.002901664
0.062004,0.029243,1410.63,58812902.397,0.00327595
0.088032,0.010008,4961.75,319247780.214,0.012742595
0.092989,0.020132,4957.85,143166418.668,0.005417734
0.19251,0.006059,2845.33,68485547.94,0.001256096
0.140196,0.02256,2011.59,23833186.788,0.000600788
0.099186,0.005107,658.57,66426692.573,0.00235998
0.132509,0.006897,1411.17,60893909.614,0.001623967
0.099991,0.006762,638.87,47937447.646,0.001689656
0.189038,0.01588,1421.98,13520458.854,0.00025255
0.156268,0.005236,1602.58,66495490.426,0.001503583
0.194112,0.027442,3361.66,17583509.61,0.000319829
0.06398,0.012951,625.7,55706723.991,0.00301375
0.082879,0.005636,1067.74,136435875.454,0.00577316
0.144982,0.007511,1200.93,40084327.9,0.000977074
0.185421,0.013386,1998.49,23389944.558,0.000445456
0.062981,0.024898,3543.7,168779852.505,0.009265844
0.13207,0.020448,951.71,13940219.216,0.000373001
